id,name,address,latitude,longitude
266,JOHN'S RESTAURANT,302 EAST 12 STREET Manhattan 10003,40.731969,-73.988987
13111,KENNEDY FRIED CHICKEN & BISCUIT,381 BEDFORD PARK BOULEVARD The Bronx 10458,40.867901,-73.884147
269,DON PEPPE,13558 LEFFERTS BOULEVARD Queens 11420,40.670251,-73.820975
271,VILLAGE YOKOCHO,6 STUYVESANT STREET Manhattan 10003,40.729868,-73.989431
272,CLARK'S RESTAURANT,80 CLARK STREET Brooklyn 11201,40.697434,-73.992894
273,DANGERFIELD'S NIGHT CLUB,1118 1 AVENUE Manhattan 10065,40.761129,-73.960868
275,MALAGA RESTAURANT,406 EAST   73 STREET Manhattan 10021,40.768219,-73.954864
276,CAPITOL RESTAURANT,4933 BROADWAY Manhattan 10034,40.867592,-73.92152
293,BABY BO'S BURRITOS,627 2 AVENUE Manhattan 10016,40.745614,-73.977916
282,UNO CHICAGO GRILL,107-16 70 ROAD Queens 11375,40.721567,-73.845268
305,LULU'S COFFEE SHOP,1191 CASTLE HILL AVENUE The Bronx 10462,40.831826,-73.851017
286,PARKSIDE RESTAURANT,10701 CORONA AVENUE Queens 11368,40.743694,-73.856189
277,LA BONNE SOUPE BISTRO,48 WEST   55 STREET Manhattan 10019,40.765455,-73.988867
279,NANNI RESTAURANT,146 EAST 46 STREET Manhattan 10017,40.752313,-73.972589
280,GRIFFIS FACULTY CLUB,521 EAST   68 STREET Manhattan 10065,40.764569,-73.96294
281,YAFFA CAFE,97 ST MARKS PLACE Manhattan 10009,40.727325,-73.984657
283,LATOURETTE GOLF COURSE,1001 RICHMOND HILL ROAD Staten Island 10306,40.58062,-74.152526
285,BLARNEY ROCK,137 WEST   33 STREET Manhattan 10001,40.749902,-73.990147
287,COOL ZONE,2300 SOUTHERN BOULEVARD The Bronx 10460,40.850715,-73.882421
288,FASCATI'S PIZZERIA,80 HENRY STREET Brooklyn 11201,40.698449,-73.992536
290,COOGAN'S,4015 BROADWAY Manhattan 10032,40.841121,-73.939871
291,BRADY'S BAR,1583 2 AVENUE Manhattan 10028,40.776352,-73.952808
